Text,Created_At,ID_Str
RT @PythonWeekly: Luciano Ramalho on Python’s features and libraries via @OReillyMedia https://t.co/XVPki76h4H #python https://t.co/8icmqcQ…,2018-01-24 18:14:42,956228781932449792
"RT @jeroenhjanssens: Thrilled to announce that my book ""Data Science at the Command Line"" (@OReillyMedia, 2014) can now be read online for…",2018-01-24 18:14:30,956228734255853569
RT @RealPython: 🐍📰 New tutorial: How to package a Python app for standalone distribution using Docker and Python wheels https://t.co/eONaeD…,2018-01-24 15:05:56,956181280173019137
RT @RealPython: 🐍📰 Testing External APIs With Python and Mock Servers: https://t.co/QYl8ngfcy5,2018-01-24 07:10:46,956061698015809536
@mohhinder Ouch haha,2018-01-24 07:10:21,956061594424930305
