Date,Open,High,Low,Close,Adj Close,Volume
30/09/2006,null,null,null,null,null,null
31/10/2006,29.09,30.209999,27.43,28.450001,14.479095,114685306
30/11/2006,28.52,28.6,27.49,28.209999,14.694589,79733212
31/12/2006,28.209999,29.35,27.43,29.110001,15.163398,87759323
31/01/2007,29.27,30.24,29.01,29.299999,15.262371,89233048
28/02/2007,29.549999,30.02,28.049999,29.700001,15.47073,112690872
31/03/2007,29.719999,31.5,29.35,30.6,15.939542,90908507
30/04/2007,30.620001,30.959999,28.76,28.84,15.022757,138837924
31/05/2007,29,29.76,28.65,28.99,15.414968,129559030
30/06/2007,29.15,29.719999,27.950001,28.299999,15.04807,109792403
31/07/2007,28.120001,29.85,25.75,28.99,15.414968,147286103
31/08/2007,28.99,29.9,27.459999,29.700001,15.792494,142054855
30/09/2007,29.76,31.74,29.35,30.1,16.00519,161949338
31/10/2007,30.35,30.540001,26.950001,28.16,14.973628,186485524
30/11/2007,28.25,28.620001,26.440001,27.459999,14.972343,129246794
31/12/2007,27.459999,27.68,24.35,26.01,14.181737,155502700
31/01/2008,26.379999,27.549999,20.83,22,11.995321,182872317
29/02/2008,21.200001,24.450001,19.379999,22.549999,12.295201,222041901
31/03/2008,22.799999,24.280001,19.950001,21.9,11.940794,212705959
30/04/2008,21.77,24.200001,20.75,21.68,11.82084,205121537
31/05/2008,21.5,21.68,17.91,18.719999,10.49882,234542725
30/06/2008,18.780001,19.65,15.4,16.25,9.113559,334264582
31/07/2008,16.1,18.15,15.32,16.610001,9.315461,254705468
31/08/2008,16.450001,20.1,15.07,18.75,10.515646,320129976
30/09/2008,19,19.629999,15.3,17.360001,9.736088,217120180
31/10/2008,17.549999,19.35,12.3,14.8,8.300348,277217884
30/11/2008,14.8,15.4,13.48,15.29,8.922673,207732341
31/12/2008,15.29,15.71,11.97,13.27,7.743879,130298639
31/01/2009,13.12,14.1,11.83,13.31,7.767218,169349941
28/02/2009,13.11,17.08,12.31,15.75,9.191112,193944291
31/03/2009,15.77,17.639999,15.4,15.9,9.278645,151535428
30/04/2009,15.8,17.049999,14.9,15.9,9.278645,219572823
31/05/2009,16,17.370001,15.67,16.49,9.896531,285220526
30/06/2009,16.48,18.83,15.68,18.530001,11.120845,227145753
31/07/2009,18.75,21.58,18.719999,21.290001,12.777268,213210973
31/08/2009,21.450001,24.99,20.969999,24.389999,14.637743,227629879
30/09/2009,24.299999,25.25,22.65,23.059999,13.839539,209870619
31/10/2009,22.5,23.16,21.1,22.15,13.293396,215247928
30/11/2009,22,22.93,20.950001,22.879999,14.078359,153934660
31/12/2009,22.790001,23.52,21.68,21.73,13.370749,144882633
31/01/2010,21.700001,23.139999,20.129999,23.139999,14.238342,176271312
28/02/2010,23.290001,25.719999,23.26,25.360001,15.604341,192884693
31/03/2010,25.42,26.23,24.049999,24.200001,14.890575,151489297
30/04/2010,24.02,24.99,19.950001,22.309999,13.727633,267313742
31/05/2010,22.309999,23.68,21.34,21.610001,13.59002,167095782
30/06/2010,21.299999,23.299999,20.610001,23.049999,14.495602,152818225
31/07/2010,23.139999,23.549999,21.780001,22.59,14.206316,184820991
31/08/2010,22.700001,24.530001,22.700001,23.68,14.891793,192326178
30/09/2010,23.790001,24.85,23.25,24.809999,15.602423,204812257
31/10/2010,24.950001,25.200001,22.049999,22.66,14.25034,237373172
30/11/2010,22.51,24.18,22.379999,23.35,15.128517,143236140
31/12/2010,23.35,23.84,22.48,23.67,15.335842,127606926
31/01/2011,23.610001,25.959999,23.57,24.129999,15.633877,167574778
28/02/2011,24.299999,24.309999,22.15,23.809999,15.426546,212618165
31/03/2011,23.92,24.49,23.389999,24.23,15.698669,130313056
30/04/2011,24.280001,24.34,21.379999,22.129999,14.338073,246220751
31/05/2011,22.07,22.15,21.059999,22,14.65875,191290172
30/06/2011,21.98,22.219999,20.450001,20.83,13.879169,165591895
31/07/2011,21.07,21.52,17.629999,20.290001,13.519366,300952579
31/08/2011,20.15,20.540001,18.65,19.52,13.006309,220885451
30/09/2011,19.1,22.530001,18.68,21.68,14.445529,189641631
31/10/2011,21.26,21.92,18.6,19.9,13.259505,243306914
30/11/2011,20.5,21.299999,20.280001,20.530001,14.174339,175804355
31/12/2011,20.530001,21.73,20.309999,21.41,14.781906,140244121
31/01/2012,21.299999,22.27,21.09,21.950001,15.154737,176936977
29/02/2012,21.85,23.68,21.620001,23.26,16.059185,180099292
31/03/2012,23.5,23.940001,22.690001,23.91,16.507961,125264070
30/04/2012,23.950001,24.049999,20.26,20.9,14.429795,243182974
31/05/2012,20.9,22.15,20.700001,22.030001,15.65692,146116559
30/06/2012,22.23,23.66,22.1,23.540001,16.730095,123083291
31/07/2012,23.52,25.120001,23.219999,24.82,17.639801,127967268
31/08/2012,24.76,24.98,24,24.75,17.590052,149988340
30/09/2012,24.620001,27.629999,24.620001,25.450001,18.087547,129840403
31/10/2012,25.469999,25.67,23.42,24.360001,17.312876,180761206
30/11/2012,24.450001,25.1,24.389999,25.049999,18.372219,96315689
31/12/2012,25.049999,26.82,24.93,26.58,19.494352,110971499
31/01/2013,26.65,28.889999,26.25,28.719999,21.063877,126932036
28/02/2013,28.549999,29.459999,27.6,28.530001,20.924528,134809170
31/03/2013,28.530001,31.879999,27.700001,31.84,23.352156,139986980
30/04/2013,31.84,32.09,27.18,27.540001,20.198441,203943178
31/05/2013,27.5,28.9,26.299999,28.58,21.459139,155976072
30/06/2013,28.42,30.139999,27.75,29.76,22.345137,131399862
31/07/2013,29.870001,30.370001,28.975,29.690001,22.292576,136340243
31/08/2013,29.799999,31.75,29.42,30.780001,23.110998,113182233
30/09/2013,30.75,34.060001,30.105,33.84,25.408579,119597002
31/10/2013,33.799999,33.98,31.33,31.9,23.951944,136312293
30/11/2013,32.049999,32.435001,29.98,32.23,24.86928,109055060
31/12/2013,32.23,32.455002,29.93,30.129999,23.248878,91263762
31/01/2014,30,32.349998,28.84,32.139999,24.799833,122193353
28/02/2014,32.139999,33.200001,31.639999,33.060001,25.509724,111818863
31/03/2014,33.150002,35.07,32.825001,34.470001,26.59771,90696507
30/04/2014,34.73,34.75,32.5,33.490002,25.841522,117424045
31/05/2014,33.5,34.279999,33.049999,33.34,26.373405,107794365
30/06/2014,33.360001,34.09,32.77,33.970001,26.871767,95772772
31/07/2014,33.700001,33.75,32.220001,33.43,26.444603,95840966
31/08/2014,33.450001,33.84,30.469999,30.92,24.459082,119583115
30/09/2014,30.74,33.59,30.59,33.5,26.499973,135798975
31/10/2014,33.529999,33.889999,31.629999,31.92,25.250126,116058402
30/11/2014,32,32.610001,30.469999,32.09,26.123203,115544242
