Date,Open,High,Low,Close,Adj Close,Volume
30/09/2006,null,null,null,null,null,null
31/10/2006,36.339001,38.5555,35.872898,37.271301,17.224113,114291061
30/11/2006,37.147598,38.707699,36.500702,38.431801,18.163502,64328010
31/12/2006,38.431801,39.002602,37.585201,38.450802,18.172485,65841470
31/01/2007,38.526901,39.459202,37.813499,38.393799,18.145538,71750865
28/02/2007,38.450802,38.859901,37.195099,38.431801,18.163502,99383185
31/03/2007,38.441299,42.1418,38.060799,40.905201,19.332474,85538670
30/04/2007,40.791,42.522301,39.963402,40.467602,19.125654,104620303
31/05/2007,40.3344,40.448502,38.0513,39.021599,18.442251,102689510
30/06/2007,39.164299,39.164299,36.034599,36.491199,17.625259,104214931
31/07/2007,36.196301,38.603001,34.455399,37.994202,18.351213,116150111
31/08/2007,38.1464,38.593498,35.102299,37.775398,18.245531,128989271
30/09/2007,37.6898,41.380798,37.670799,41.000301,19.80316,120367877
31/10/2007,41.380798,42.655499,36.120201,36.434101,17.597683,154349468
30/11/2007,36.614899,37.680302,34.674301,35.949001,17.766623,127500229
31/12/2007,35.949001,36.091702,28.8619,32.914398,16.266872,161758297
31/01/2008,33.437599,34.388901,27.045,27.4445,13.563551,181806430
29/02/2008,26.6359,29.8132,24.5907,28.6812,14.174749,177242370
31/03/2008,28.6812,30.364901,26.2269,28.738199,14.20292,146455095
30/04/2008,28.871401,32.990501,28.3197,29.7847,14.720118,183195592
31/05/2008,29.737101,29.737101,24.019899,25.209,12.863561,252875828
30/06/2008,25.1614,29.290001,23.4396,23.4967,11.989817,278330154
31/07/2008,23.116199,25.541901,22.2505,23.3064,11.892712,169036092
31/08/2008,22.9354,25.285101,17.6938,23.0781,11.776213,291615703
30/09/2008,23.591801,25.1709,19.786699,22.821301,11.645176,201844830
31/10/2008,23.021,24.9426,16.942301,19.0257,9.708368,245061474
30/11/2008,19.0257,20.0816,17.684299,19.8533,10.566899,157926938
31/12/2008,19.8533,20.148199,15.8674,18.007799,9.584635,106737486
31/01/2009,17.960199,18.940001,16.4382,17.0089,9.052971,91051912
28/02/2009,16.657,20.367001,15.0778,19.1208,10.177027,197991441
31/03/2009,19.139799,22.469299,19.1017,19.625,10.445387,132608419
30/04/2009,19.558399,21.851,19.5203,20.947201,11.149127,140210151
31/05/2009,20.9853,22.012699,20.1957,21.3468,11.361814,198026843
30/06/2009,21.0233,23.430099,20.4335,23.144699,12.741847,263281167
31/07/2009,23.6394,27.3589,23.601299,27.092501,14.915233,194821085
31/08/2009,27.2257,29.917801,25.884399,29.2614,16.109276,172038187
30/09/2009,29.1092,30.792999,27.282801,28.3958,15.632734,169041623
31/10/2009,27.5016,29.194901,25.503901,27.2257,14.988564,198895098
30/11/2009,27.1115,27.6728,24.5907,26.0651,14.725279,150665697
31/12/2009,25.969999,26.3981,24.9426,25.0853,14.171747,126779763
31/01/2010,24.9807,25.0187,23.0686,24.2006,13.671944,184463815
28/02/2010,24.2577,26.5313,23.991301,26.1793,14.789796,163227920
31/03/2010,26.0651,27.6157,26.0271,26.6359,15.047751,154575418
30/04/2010,26.6644,26.8547,21.146999,23.430099,13.236655,222138969
31/05/2010,23.3064,24.324301,21.6036,22.145901,12.511156,170725606
30/06/2010,21.8985,24.191099,21.3563,23.905701,13.937463,121151377
31/07/2010,24.115,24.2292,21.499001,22.0697,12.867043,158859816
31/08/2010,22.355101,25.094801,22.3076,24.105499,14.05395,176203461
30/09/2010,24.2862,24.723801,23.0306,24.2197,14.12053,159848972
31/10/2010,24.3433,25.009199,21.965099,22.2981,13.000205,182694539
30/11/2010,21.9937,23.458599,21.927099,22.545401,13.582321,125260212
31/12/2010,22.545401,23.686899,22.3647,23.4491,14.126751,94818755
31/01/2011,23.2493,25.228001,23.2493,24.5431,14.785822,138901342
28/02/2011,24.647699,24.742901,22.7356,24.5907,14.814496,150227790
31/03/2011,24.5716,25.960501,24.495501,25.7607,15.519358,121225691
30/04/2011,25.7988,26.8071,24.7048,25.190001,15.175541,221243807
31/05/2011,25.113899,25.1805,22.688101,24.371901,14.682684,195960514
30/06/2011,24.3053,24.5716,22.155399,22.830799,14.236464,157890034
31/07/2011,23.173201,23.648899,18.683201,22.5644,14.070346,268903414
31/08/2011,22.688101,23.021,19.9865,21.280199,13.269564,222022397
30/09/2011,20.795,25.2661,19.900801,24.448,15.244891,171527285
31/10/2011,24.2101,24.600201,20.519199,22.269501,13.886458,195295191
30/11/2011,23.087601,23.6203,21.822399,22.222,14.372986,131725749
31/12/2011,22.222,23.192301,22.1649,22.688101,14.674459,109709625
31/01/2012,22.459801,23.0781,21.460899,22.516899,14.563725,168468165
29/02/2012,22.3647,23.8867,21.908001,23.4016,15.135942,155255524
31/03/2012,23.544201,24.1721,23.0401,24.0009,15.523564,109115442
30/04/2012,24.115,24.1626,21.170799,21.3848,13.831493,199011315
31/05/2012,21.146999,22.593,20.8806,22.3932,15.082782,180123379
30/06/2012,22.554899,23.877199,22.183901,23.763,16.005404,132955525
31/07/2012,23.782101,24.4384,23.021,23.9818,16.152773,167339298
31/08/2012,23.9723,24.4384,23.601299,24.248199,16.332207,135934407
30/09/2012,24.2577,25.8083,24.248199,24.5336,16.524433,153674626
31/10/2012,24.2862,24.333799,21.851,23.116199,15.569754,253823975
30/11/2012,23.0781,23.905701,23.002001,23.782101,16.651724,111715475
31/12/2012,23.782101,26.559799,23.734501,26.0271,18.223625,139130712
31/01/2013,26.103201,29.2995,26.0746,28.728701,20.115227,133710083
28/02/2013,28.5956,30.6693,28.548,29.3375,20.541494,143241145
31/03/2013,29.3375,32.429199,28.928499,32.343601,22.646305,125175412
30/04/2013,32.343601,32.695599,27.434999,27.5872,19.315971,210535679
31/05/2013,27.682301,28.5765,26.2078,28.2341,20.422455,150864999
30/06/2013,27.9487,29.9939,27.244699,29.7085,21.488926,119651163
31/07/2013,29.7085,31.154499,28.7953,30.869101,22.328421,111874136
31/08/2013,31.097401,33.723,30.869101,32.647999,23.615143,119437333
30/09/2013,32.724098,35.264,32.286499,33.589802,24.296371,127696051
31/10/2013,33.6754,34.759899,31.877501,32.895401,23.794094,128993762
30/11/2013,33.076099,33.2854,30.9405,33.133202,24.66692,101320488
31/12/2013,33.133202,33.294899,31.439899,31.6301,23.54789,77455285
31/01/2014,31.563601,33.6516,30.3459,33.0476,24.603188,117768697
28/02/2014,33,33.9608,32.438702,33.732498,25.113083,107488612
31/03/2014,33.723,34.246201,33.180698,33.580299,24.999771,86488709
30/04/2014,33.580299,33.6278,31.073601,31.8584,23.717855,124301620
31/05/2014,31.868,32.3484,31.183001,31.183001,23.937105,95934752
30/06/2014,31.211599,33.6754,30.6693,33.5993,25.791939,102941003
31/07/2014,33.294899,33.551701,32.1343,33.4851,25.704273,93680024
31/08/2014,33.580299,33.751499,30.431499,30.9547,23.761854,113994454
30/09/2014,30.5742,33.2854,29.965401,33.2854,25.550982,143628990
31/10/2014,33.294899,33.409,30.441,31.011801,23.805685,138780952
30/11/2014,31.0308,32.2295,29.803699,31.9631,25.306459,121675433
31/12/2014,31.9631,34.0369,31.2687,33.894199,26.835386,114752902
31/01/2015,33.894199,36.167801,33.694401,36.0536,28.545069,99722776
28/02/2015,36.091702,37.651798,35.435299,36.671902,29.034601,102530583
31/03/2015,36.548302,37.775398,34.7313,34.978699,27.694029,93250471
30/04/2015,34.978699,35.159401,31.8606,33.114899,26.218384,151983260
31/05/2015,32.979801,33.5588,30.451799,32.1404,26.204412,137243581
30/06/2015,32.275501,33.6745,31.6,33.549099,27.352938,89415890
31/07/2015,33.394699,33.626301,28.367701,30.0755,24.520876,129251966
31/08/2015,29.7668,30.336,28.1264,28.927299,23.584736,149118382
